FWEIGHT,FASTFIN,FASTOTH,FDBTTOT,FNETWTH
.1707008828803021,578851029.2174146,333190109.1269767,50541124.30851497,861500014.0358763
.1711870774551492,578179118.56249,332803353.341571,50482457.88447723,860500014.0195837
.1716752245823632,577507207.9075656,332416597.5561653,50423791.46043949,859500014.0032914
.1721653343887566,576835297.2526412,332029841.7707596,50365125.03640174,858500013.986999
.1726574170670436,576163386.5977168,331643085.985354,50306458.612364,857500013.9707068
.1731514828707862,575491475.9427923,331256330.1999484,50247792.18832626,856500013.9544144
.1736475421240724,574819565.2878678,330869574.4145427,50189125.76428852,855500013.9381219
.1741456052122681,574147654.6329434,330482818.629137,50130459.34025078,854500013.9218297
.1746456825907898,573475743.9780189,330096062.8437314,50071792.91621304,853500013.9055372
.1751477847794071,572803833.3230945,329709307.0583257,50013126.4921753,852500013.8892449
.1756519223662899,572131922.6681701,329322551.2729201,49954460.06813755,851500013.8729527
.1761581060081893,571460012.0132456,328935795.4875144,49895793.64409981,850500013.8566601
.1766663464274529,570788101.3583211,328549039.7021087,49837127.22006207,849500013.8403678
.1771766544193962,570116190.7033967,328162283.9167031,49778460.79602432,848500013.8240755
.1776890408447052,569444280.0484723,327775528.1312974,49719794.37198658,847500013.8077831
.1782035166394079,568772369.3935478,327388772.3458917,49661127.94794884,846500013.7914907
.1787200928030259,568100458.7386233,327002016.560486,49602461.52391109,845500013.7751982
.1792387804120736,567428548.0836989,326615260.7750804,49543795.09987335,844500013.7589059
.1797595906115788,566756637.4287744,326228504.9896747,49485128.67583561,843500013.7426136
.1802825346194922,566084726.77385,325841749.2042691,49426462.25179786,842500013.7263212
.1808076237268677,565412816.1189256,325454993.4188634,49367795.82776012,841500013.7100289
.1813348692979987,564740905.4640011,325068237.6334577,49309129.40372238,840500013.6937363
.1818642827698073,564068994.8090765,324681481.8480521,49250462.97968464,839500013.677444
.1823958756557561,563397084.1541522,324294726.0626464,49191796.5556469,838500013.6611516
.1829296595410093,562725173.4992278,323907970.2772408,49133130.13160916,837500013.6448593
.1834656460899399,562053262.8443033,323521214.4918351,49074463.70757142,836500013.628567
.1840038470410647,561381352.1893789,323134458.7064294,49015797.28353367,835500013.6122746
.1845442742094861,560709441.5344543,322747702.9210238,48957130.85949593,834500013.5959822
.1850869394889726,560037530.87953,322360947.1356182,48898464.43545819,833500013.57969
.185631854848522,559365620.2246054,321974191.3502125,48839798.01142044,832500013.5633974
.1861790323389181,558693709.569681,321587435.5648068,48781131.5873827,831500013.5471052
.1867284840891815,558021798.9147567,321200679.7794012,48722465.16334496,830500013.5308129
.1872802223050769,557349888.259832,320813923.9939955,48663798.73930722,829500013.5145203
.1878342592767328,556677977.6049076,320427168.2085899,48605132.31526948,828500013.4982281
.1883906073728989,556006066.9499832,320040412.4231842,48546465.89123174,827500013.4819357
.1889492790459202,555334156.2950587,319653656.6377785,48487799.46719399,826500013.4656433
.1895102868275764,554662245.6401343,319266900.8523729,48429133.04315625,825500013.449351
.1900736433350744,553990334.9852098,318880145.0669672,48370466.6191185,824500013.4330585
.1906393612686735,553318424.3302854,318493389.2815616,48311800.19508076,823500013.4167662
.1912074534109398,552646513.6753609,318106633.4961559,48253133.77104302,822500013.4004738
.1917779326309291,551974603.0204365,317719877.7107502,48194467.34700528,821500013.3841815
.1923508118848424,551302692.3655121,317333121.9253446,48135800.92296754,820500013.3678892
.192926104211436,550630781.7105875,316946366.1399389,48077134.49892979,819500013.3515966
.1935038227390766,549958871.0556631,316559610.3545333,48018468.07489205,818500013.3353043
.1940839806822133,549286960.4007387,316172854.5691276,47959801.65085431,817500013.3190119
.1946665913453801,548615049.7458142,315786098.7837219,47901135.22681656,816500013.3027196
.1952516681197592,547943139.0908898,315399342.9983163,47842468.80277883,815500013.2864273
.1958392244877935,547271228.4359653,315012587.2129106,47783802.37874109,814500013.2701348
.196429274022576,546599317.7810409,314625831.427505,47725135.95470334,813500013.2538426
.1970218303855664,545927407.1261164,314239075.6420993,47666469.5306656,812500013.23755
.1976169073336906,545255496.471192,313852319.8566936,47607803.10662786,811500013.2212578
.1982145187154296,544583585.8162676,313465564.071288,47549136.68259011,810500013.2049655
.1988146784695298,543911675.161343,313078808.2858823,47490470.25855237,809500013.1886729
.199417400634139,543239764.5064186,312692052.5004767,47431803.83451463,808500013.1723807
.200022699336834,542567853.8514942,312305296.715071,47373137.41047689,807500013.1560884
.2006305888044116,541895943.1965698,311918540.9296653,47314470.98643915,806500013.139796
.2012410833582309,541224032.5416453,311531785.1442597,47255804.56240141,805500013.1235036
.2018541974176271,540552121.8867209,311145029.3588539,47197138.13836367,804500013.1072111
.2024699454992112,539880211.2317964,310758273.5734483,47138471.71432592,803500013.0909188
.2030883422176608,539208300.5768719,310371517.7880427,47079805.29028818,802500013.0746263
.2037094022898133,538536389.9219475,309984762.002637,47021138.86625044,801500013.058334
.2043331405287865,537864479.2670231,309598006.2172313,46962472.44221269,800500013.0420418
.2049595718526844,537192568.6120986,309211250.4318256,46903806.01817495,799500013.0257492
.2055887112777455,536520657.9571741,308824494.64642,46845139.59413721,798500013.0094569
.2062205739256694,535848747.3022497,308437738.8610144,46786473.17009946,797500012.9931645
.206855175021197,535176836.6473252,308050983.0756087,46727806.74606172,796500012.9768722
.2074925298933997,534504925.9924008,307664227.290203,46669140.32202398,795500012.9605799
.2081326539742092,533833015.3374763,307277471.5047973,46610473.89798623,794500012.9442874
.2087755628059701,533161104.6825519,306890715.7193917,46551807.47394849,793500012.9279951
.2094212720337523,532489194.0276274,306503959.9339861,46493141.04991075,792500012.9117028
.2100697974133544,531817283.372703,306117204.1485804,46434474.62587301,791500012.8954103
.2107211548091569,531145372.7177786,305730448.3631747,46375808.20183527,790500012.879118
.211375360192448,530473462.0628541,305343692.577769,46317141.77779753,789500012.8628256
.2120324296474842,529801551.4079296,304956936.7923634,46258475.35375979,788500012.8465332
.2126923793692736,529129640.7530051,304570181.0069578,46199808.92972204,787500012.8302408
.2133552256645491,528457730.0980807,304183425.2215521,46141142.5056843,786500012.8139484
.2140209849557019,527785819.4431563,303796669.4361464,46082476.08164656,785500012.7976562
.2146896737740215,527113908.7882318,303409913.6507407,46023809.65760881,784500012.7813637
.215361308772674,526441998.1333073,303023157.8653351,45965143.23357107,783500012.7650714
.216035906714696,525770087.4783829,302636402.0799295,45906476.80953334,782500012.7487791
.2167134844845938,525098176.8234584,302249646.2945238,45847810.38549559,781500012.7324866
.2173940590826005,524426266.168534,301862890.5091181,45789143.96145785,780500012.7161944
.2180776476277284,523754355.5136095,301476134.7237125,45730477.53742011,779500012.6999019
.2187642673601881,523082444.8586851,301089378.9383068,45671811.11338236,778500012.6836096
.2194539356407787,522410534.2037607,300702623.1529012,45613144.68934461,777500012.6673173
.2201466699516107,521738623.5488362,300315867.3674955,45554478.26530688,776500012.6510248
.2208424878985486,521066712.8939118,299929111.5820898,45495811.84126914,775500012.6347325
.2215414072101026,520394802.2389873,299542355.7966842,45437145.41723139,774500012.6184402
.2222434457408879,519722891.5840629,299155600.0112785,45378478.99319365,773500012.6021477
.2229486214722589,519050980.9291384,298768844.2258729,45319812.56915591,772500012.5858554
.2236569525116521,518379070.2742139,298382088.4404672,45261146.14511816,771500012.5695629
.2243684570933106,517707159.6192895,297995332.6550615,45202479.72108042,770500012.5532706
.2250831535844343,517035248.964365,297608576.8696559,45143813.29704268,769500012.5369782
.2258010604784187,516363338.3094406,297221821.0842502,45085146.87300494,768500012.5206859
.2265221964037868,515691427.6545162,296835065.2988446,45026480.4489672,767500012.5043936
.2272465801175186,515019516.9995916,296448309.5134389,44967814.02492946,766500012.488101
.2279742305154525,514347606.3446673,296061553.7280332,44909147.60089171,765500012.4718088
.2287051666227657,513675695.6897427,295674797.9426276,44850481.17685397,764500012.4555163
.2294394076054382,513003785.0348184,295288042.1572219,44791814.75281623,763500012.439224
.2301769727621583,512331874.3798939,294901286.3718162,44733148.32877848,762500012.4229317
.2309178815324622,511659963.7249694,294514530.5864105,44674481.90474074,761500012.4066392
.2316621534962595,510988053.070045,294127774.8010049,44615815.480703,760500012.3903469
.2324098083699893,510316142.4151205,293741019.0155993,44557149.05666526,759500012.3740546
.2331608660168855,509644231.7601961,293354263.2301936,44498482.63262752,758500012.3577621
.2339153464381361,508972321.1052716,292967507.4447879,44439816.20858978,757500012.3414698
.2346732697842791,508300410.4503472,292580751.6593823,44381149.78455204,756500012.3251774
.2354346563478767,507628499.7954227,292193995.8739766,44322483.36051429,755500012.3088851
.2361995265677886,506956589.1404983,291807240.088571,44263816.93647655,754500012.2925926
.2369679010349606,506284678.4855738,291420484.3031653,44205150.5124388,753500012.2763003
.2377398004820911,505612767.8306494,291033728.5177596,44146484.08840106,752500012.260008
.2385152458023314,504940857.1757249,290646972.732354,44087817.66436332,751500012.2437155
.2392942580315573,504268946.5208005,290260216.9469483,44029151.24032558,750500012.2274232
.2400768583646728,503597035.865876,289873461.1615427,43970484.81628783,749500012.2111309
.2408630681459094,502925125.2109516,289486705.376137,43911818.39225009,748500012.1948384
.241652908881941,502253214.5560271,289099949.5907313,43853151.96821235,747500012.1785461
.242446402230284,501581303.9011027,288713193.8053257,43794485.5441746,746500012.1622539
.2432435700097665,500909393.2461782,288326438.01992,43735819.12013686,745500012.1459613
.2440444342002345,500237482.5912538,287939682.2345144,43677152.69609912,744500012.129669
.2448490169384817,499565571.9363293,287552926.4491087,43618486.27206139,743500012.1133766
.245657340529103,498893661.2814049,287166170.663703,43559819.84802364,742500012.0970843
.246469427436852,498221750.6264805,286779414.8782974,43501153.4239859,741500012.080792
.2472853002938539,497549839.9715559,286392659.0928917,43442486.99994816,740500012.0644995
.2481049818991082,496877929.3166316,286005903.3074861,43383820.57591041,739500012.0482072
.2489284952201617,496206018.661707,285619147.5220804,43325154.15187267,738500012.0319147
.2497558633919331,495534108.0067826,285232391.7366747,43266487.72783493,737500012.0156224
.2505871097241295,494862197.3518582,284845635.9512691,43207821.30379719,736500011.99933
.2514222576974245,494190286.6969337,284458880.1658634,43149154.87975945,735500011.9830377
.2522613309674163,493518376.0420093,284072124.3804578,43090488.45572171,734500011.9667454
.2531043533638804,492846465.3870848,283685368.5950521,43031822.03168396,733500011.9504529
.2539513488982999,492174554.7321603,283298612.8096464,42973155.60764622,732500011.9341605
.2548023417560421,491502644.0772359,282911857.0242408,42914489.18360848,731500011.9178683
.2556573563067138,490830733.4223114,282525101.2388351,42855822.75957073,730500011.9015758
.2565164171001599,490158822.767387,282138345.4534295,42797156.33553299,729500011.8852835
.257379548871573,489486912.1124626,281751589.6680238,42738489.91149525,728500011.8689911
.2582467765400018,488815001.4575381,281364833.8826181,42679823.48745751,727500011.8526987
.259118125212533,488143090.8026137,280978078.0972125,42621157.06341976,726500011.8364065
.2599936201851746,487471180.1476892,280591322.3118068,42562490.63938202,725500011.8201139
.260873286943081,486799269.4927648,280204566.5264012,42503824.21534428,724500011.8038217
.2617571511657089,486127358.8378403,279817810.7409955,42445157.79130653,723500011.7875293
.2626452387234707,485455448.1829158,279431054.9555898,42386491.36726879,722500011.7712368
.2635375756863041,484783537.5279914,279044299.1701841,42327824.94323105,721500011.7549446
.2644341883171604,484111626.8730669,278657543.3847784,42269158.51919331,720500011.738652
.2653351030816368,483439716.2181425,278270787.5993728,42210492.09515557,719500011.7223598
.2662403466423459,482767805.5632181,277884031.8139672,42151825.67111783,718500011.7060673
.2671499458703802,482095894.9082936,277497276.0285615,42093159.24708008,717500011.689775
.2680639278341417,481423984.2533692,277110520.2431558,42034492.82304234,716500011.6734827
.2689823198158484,480752073.5984446,276723764.4577501,41975826.3990046,715500011.6571902
.2699051492998669,480080162.9435202,276337008.6723445,41917159.97496686,714500011.6408979
.2708324439843572,479408252.2885958,275950252.8869389,41858493.55092911,713500011.6246055
.2717642317777907,478736341.6336713,275563497.1015332,41799827.12689137,712500011.6083131
.272700540802726,478064430.9787469,275176741.3161275,41741160.70285363,711500011.5920208
.2736413993992463,477392520.3238224,274789985.5307218,41682494.27881589,710500011.5757284
.2745868361226979,476720609.668898,274403229.7453162,41623827.85477815,709500011.5594361
.2755368797500896,476048699.0139735,274016473.9599106,41565161.43074041,708500011.5431437
.276491559280567,475376788.3590491,273629718.1745049,41506495.00670266,707500011.5268513
.2774509039353005,474704877.7041246,273242962.3890992,41447828.58266491,706500011.510559
.2784149431628203,474032967.0492002,272856206.6036936,41389162.15862717,705500011.4942666
.2793837066401256,473361056.3942757,272469450.8182879,41330495.73458943,704500011.4779742
.2803572242711912,472689145.7393513,272082695.0328823,41271829.31055169,703500011.4616818
.2813355261970758,472017235.0844268,271695939.2474766,41213162.88651395,702500011.4453895
.2823186427899971,471345324.4295024,271309183.4620709,41154496.4624762,701500011.4290972
.2833066046571763,470673413.7745779,270922427.6766653,41095830.03843846,700500011.4128047
.2842994426498822,470001503.1196535,270535671.8912596,41037163.61440072,699500011.3965124
.2852971878545905,469329592.464729,270148916.105854,40978497.19036298,698500011.3802199
.2862998716049452,468657681.8098046,269762160.3204483,40919830.76632524,697500011.3639276
.2873075254757214,467985771.1548801,269375404.5350426,40861164.3422875,696500011.3476353
.2883201812949674,467313860.4999557,268988648.749637,40802497.91824976,695500011.3313429
.2893378711360234,466641949.8450312,268601892.9642313,40743831.49421201,694500011.3150505
.2903606273267917,465970039.1901067,268215137.1788257,40685165.07017427,693500011.2987581
.2913884824477019,465298128.5351824,267828381.39342,40626498.64613653,692500011.2824658
.2924214693399644,464626217.8802578,267441625.6080143,40567832.22209878,691500011.2661734
.2934596211005726,463954307.2253335,267054869.8226086,40509165.79806104,690500011.249881
.294502971087979,463282396.5704089,266668114.037203,40450499.3740233,689500011.2335887
.2955515529305293,462610485.9154845,266281358.2517973,40391832.94998556,688500011.2172962
.2966054005162641,461938575.2605601,265894602.4663917,40333166.52594782,687500011.201004
.2976645480055141,461266664.6056356,265507846.680986,40274500.10191008,686500011.1847115
.2987290298333872,460594753.9507112,265121090.8955804,40215833.67787233,685500011.1684192
.2997988807040702,459922843.2957867,264734335.1101747,40157167.25383459,684500011.1521268
.3008741356024516,459250932.6408622,264347579.324769,40098500.82979685,683500011.1358345
.3019548297899377,458579021.9859378,263960823.5393634,40039834.4057591,682500011.1195421
.3030409988144933,457907111.3310133,263574067.7539577,39981167.98172136,681500011.1032497
.304132678504671,457235200.6760889,263187311.9685521,39922501.55768362,680500011.0869573
.305229904979765,456563290.0211645,262800556.1831464,39863835.13364588,679500011.070665
.3063327146479333,455891379.36624,262413800.3977408,39805168.70960813,678500011.0543727
.3074411442096127,455219468.7113156,262027044.6123351,39746502.28557039,677500011.0380802
.3085552306627873,454547558.0563911,261640288.8269294,39687835.86153265,676500011.0217879
.3096750113036439,453875647.4014667,261253533.0415238,39629169.4374949,675500011.0054955
.3108005237319312,453203736.7465422,260866777.2561181,39570503.01345716,674500010.9892032
.311931805846347,452531826.0916178,260480021.4707125,39511836.58941942,673500010.9729108
.3130688958599141,451859915.4366933,260093265.6853068,39453170.16538168,672500010.9566184
.3142118322907096,451188004.7817688,259706509.8999011,39394503.74134394,671500010.940326
.3153606539731028,450516094.1268444,259319754.1144955,39335837.3173062,670500010.9240336
.3165154000565794,449844183.47192,258932998.3290898,39277170.89326845,669500010.9077413
.3176761100102864,449172272.8169955,258546242.5436841,39218504.46923071,668500010.891449
.3188428236279392,448500362.162071,258159486.7582785,39159838.04519297,667500010.8751565
.3200155810250624,447828451.5071465,257772730.9728728,39101171.62115523,666500010.8588641
.3211944226489394,447156540.8522221,257385975.1874672,39042505.19711749,665500010.8425719
.3223793892772555,446484630.1972977,256999219.4020615,38983838.77307975,664500010.8262794
.3235705220243386,445812719.5423732,256612463.6166558,38925172.34904201,663500010.8099871
.3247678623419736,445140808.8874488,256225707.8312502,38866505.92500426,662500010.7936947
.3259714520249192,444468898.2325243,255838952.0458445,38807839.50096652,661500010.7774024
.3271813332120617,443796987.5775999,255452196.2604389,38749173.07692878,660500010.7611099
.3283975483892407,443125076.9226754,255065440.4750332,38690506.65289102,659500010.7448176
.3296201403989726,442453166.267751,254678684.6896275,38631840.22885329,658500010.7285252
.3308491524342549,441781255.6128265,254291928.9042219,38573173.80481555,657500010.7122328
.3320846280501211,441109344.9579021,253905173.1188162,38514507.3807778,656500010.6959405
.3333266111631649,440437434.3029776,253518417.3334106,38455840.95674006,655500010.6796482
.3345751460542096,439765523.6480532,253131661.5480049,38397174.53270232,654500010.6633557
.3358302773771711,439093612.9931287,252744905.7625992,38338508.10866457,653500010.6470634
